user_id,password,nombre,telefono,correo,status,propiedadesVendidas,balance
fbbff0d4-bd6a-4f27-83d9-2efcd3cf89a8,gcs3H#4e@%aS,Lizeth Pérez,573254235116,mosqueranubia@example.com,True,0,370775249.88
744075bd-9357-4190-8e13-ab5aa74e866a,SnXp1M$c9^(*,Rosa Rojas Ortiz,(+57)6075928327,manuelbenitez@example.org,True,3,69768964.26
7508ce01-84ac-4216-8f7d-e2a7d2e25224,3vq6aIcL7^T7,Johana López Gómez,57 607 822 69 16,moises01@example.net,True,12,43469416.31
18df26c4-dd4a-42a1-a77a-9dba3e900d80,5LDq7j1t_AZX,Mauricio Luis Morales,573130391171,carmenortega@example.net,False,0,14898609.72
9acdba0e-c2d2-4819-97b1-3029cd075faa,)reGbFsL66@S,Martha Espitia,(+57)3118347382,evargas@example.com,True,3,252677644.05
c6202e64-a26f-4715-8bd8-103c553f5359,M&b5NHDn62LJ,Rubén Edison López Arango,018000132677,wilsonpabon@example.org,True,12,99418825.34
1ccfe88b-b514-483e-9b15-af0972f4a3ba,7gJaO24n%%B$,Manuela María García,57 306 193 99 09,guerrerojuan@example.net,False,3,224604523.14
81984bc5-0c43-44a0-8454-876939eb01d6,H_A5HiLzz^37,Marina Ríos Suárez,(+57) 320 841 24 11,luisacalderon@example.net,False,0,379403683.56
c0bc3208-48dc-49d7-86df-2dd6856d614a,%8PJ8!jZ7gSi,Elvira Murillo,(+57) 606 462 04 50,enriqueromero@example.net,True,8,170125258.26
bb3e45b3-0b72-4a67-b41e-e3109af81079,)2r@gCHfpl7k,Diana Matilde Romero Fonseca,303 036 54 14,jorge68@example.com,True,3,478606536.1
65786657-541f-4fad-a06d-e735350ebb3c,#WD2Ky(s%$Si,Alejandro Aldemar Cáceres,+573114846564,lilianavergara@example.com,False,1,46372921.69
de084054-2de7-4e5e-949e-8e801ce62a43,S)9JmaMK3NJk,Luis Efrén Moreno,573133200379,cardenashugo@example.net,True,5,423747183.17
40f2787c-234d-4ecd-90bd-77a5f9c5b436,a!6i*J1e*$Ho,Rolando Giovanny Ávila,+57 326 872 77 43,sebastian87@example.net,False,0,364865893.35
fd0fa834-577f-430e-8614-355d5d6ee813,+s^+G+iIC4%H,Jairo Valderrama Jiménez,+57 316 889 37 34,yreyes@example.com,True,8,39400099.04
599c24a1-9ac4-4670-ad1e-db0b527fe0d2,y+tV2Oeq17CL,José Ángel Anaya Romero,(+57)6034003309,clemenciagonzalez@example.org,False,15,442725873.97
84546f44-2a58-4a2c-8e5e-03ef7839c60f,xfj^BUuUt2Tt,Doris Milena Duque,57 602 990 58 65,maria67@example.org,False,15,96144295.13
fcff6782-2ca6-4363-8a80-4feaaf14281d,gx7NRNKf7*2&,Enrique Zapata Valencia,57 323 545 49 48,delgadoliliana@example.org,True,0,330631659.28
eaf3c9a1-0d52-4b5f-9f26-b9911d6751b2,Ok&$UAVwRJh7,Consuelo Cecilia Villamizar,573033749894,roaelizabeth@example.com,False,1,427658860.51
ef6c811a-4f70-4a73-b6d2-f843fcd85e8e,y(d)qOIbM21$,Ana Arrieta,573113186999,ivanflorez@example.com,True,8,138986801.56
a6698021-7c12-46fc-b089-bfd945c814f2,&x*4S7&tS+Id,Guillermo Narváez,(+57)3213493618,jorgegamboa@example.org,False,2,185090483.56
ca5ecbe3-f952-4121-b83d-f0347f588793,%9MsH8RKWrXW,Catherine Sandoval,(+57) 309 027 87 42,facevedo@example.org,True,4,350910156.73
7b1aa273-8e94-41fa-b968-4905aee1354e,^ObHi#&k1jFn,Andrés Delgado Trujillo,57 327 034 82 47,ogonzalez@example.net,True,15,317489144.1
ee158e7e-5a2f-47e9-b086-a238a4e67d60,I48AwZ+r%eIN,Juan Carvajal Cano,+57 601 514 65 84,fredy97@example.org,True,2,231130105.93
24510222-b46f-4987-b08c-7165f8da2a5e,^vYy5GprBN8G,Tatiana Fernández Polo,+573218702621,qocampo@example.com,False,12,109807586.99
14500f06-cc50-4a7c-a660-75cdf2d54960,G@fiq#^ruz5V,Erika Rentería Gómez,+576097455623,carolinagarcia@example.com,False,0,114524035.98
14d029bc-62a1-4253-8c49-d7ecd1c38709,ZMb)H9SovzA2,Alirio González Flórez,319 440 64 09,vallejomauricio@example.com,True,5,200582393.51
701ccbe5-409a-4fc8-9c43-ad6083f7b742,X^faUgsZAKU3,Juan Hernández Montoya,57 318 842 47 45,correaana@example.org,True,3,456568062.09
9ecba68b-16b2-4af0-acb8-6c0dedfba838,k@RLbcVm&85@,Yolanda Cristina Bermúdez,3212004711,sergiohernandez@example.com,False,3,327719332.65
42d70ead-11f9-4df1-8478-4a1afa8894f2,g8I*Osw#+KNp,Andrés Fernando Bolaños,(+57)3213900532,patriciacabrera@example.org,False,10,71435795.22
310a49ce-8f1d-4e46-b42e-39fbc629280d,$WYyzel(q5Ek,Andrés Villamizar,(+57) 321 177 58 91,nmora@example.org,True,3,372494491.05
1d36944b-725d-4f6e-ad41-d433a3a6bb63,Z#zoJ*eK_8Jo,Eduardo Orlando Jiménez,+57 329 611 83 67,rosarionino@example.com,False,15,214216913.65
d715bad1-5599-4d66-8f98-bc08273c3fca,F&u%nVigmT5T,Segundo Yair Salazar,+576094494519,alexandertorres@example.org,False,5,109660379.58
3a15be20-7930-44d2-8ed1-6bfcf9d5cb8a,@o4mSh@un71d,Amparo Castillo Sánchez,6063183667,mercedes59@example.net,True,12,246757917.44
3bdb45f0-d478-46b2-b749-b2af174b1c3b,#KJ9B3vD(cVQ,María Suárez,(+57)3024451076,carmenlozano@example.org,True,1,76420659.67
765f8945-05fd-4e38-bffb-c112ab2278c2,$@upUMex(^C1,Marina Luz Mejía,(+57) 318 164 53 52,palaciosmartha@example.net,True,8,298204515.37
b9c15da0-36cd-4c7b-b054-b59b7c709df9,_2HiadjOh^2u,Andrés Óscar Suárez Castro,+576011581477,alvaro11@example.net,False,8,297944214.18
eb23db8f-e51d-4849-827e-d9e82bf31cb9,8LxaBN+%)sZe,Sonia Aleida Silva León,57 315 466 59 05,valencialuis@example.com,False,12,125707059.99
9a0290e6-c659-4249-b2ad-4dde31843841,&bEAaa)e9Tk_,Paula Laura Morales,57 314 235 73 32,anameza@example.org,True,1,340855184.51
1821a0d7-14f2-478d-b26b-c893fc343b11,Ci)8Bnjv0+Ic,David David Paz Páez,+573059774688,mparada@example.net,False,5,55776086.8
f2157655-f01d-4a0f-8ddb-e52c41687f32,_eQ)&LrP7&tm,David Dany Rivera,6058515220,rafaelcorrea@example.net,False,2,226861853.16
f1816a10-a6ef-44f9-8373-e6d8876d385f,3XJj5)5Z%rEO,Clara Milena Rodríguez Romero,3221851888,giraldoheidy@example.net,False,12,380981099.53
187d2e42-31a8-4fa8-b697-060e2bccff3c,%5+*Vh)zDZ0L,María Guevara Cruz,3130305486,wmunoz@example.net,True,4,420834674.09
df40fb1f-f689-483c-854d-0d4c77b21fd0,l!5KwDIdFd7&,Alexander García,3147962757,bonillaemilio@example.net,True,2,186956926.3
